	Магазин	Название товара	Цена	Дата
0	Пятерочка	хлебРжевский	61.99р. за единицу	29 июля 2022
1	Перекресток	гречкаМистраль ядрица	165р. за 1 кг	26 июля 2022
2	Магнит	ягодыСмородина	500р. за 1 кг	22 июля 2022
3	Пятëрочка	хлебчерный кирпичиком	20р. за 1 кг	19 июля 2022
4	Перекресток	колбасавязанка	299р. за 1 кг	18 июля 2022
5	Лента	чайчай	700р. за 1 кг	14 июля 2022
6	Лента	масло растительноемасло растительное	140р. за 1 л	14 июля 2022
7	Лента	яйцояйца 10 шт	100р. за единицу	14 июля 2022
8	Лента	молокомолоко	120р. за 1 л	14 июля 2022
9	Лента	сахарсахар	75р. за 1 кг	14 июля 2022
10	Лента	фруктыяблоки	140р. за 1 кг	14 июля 2022
11	Лента	капустакапуста	50р. за 1 кг	14 июля 2022
12	Лента	гречкагречка	140р. за 1 кг	14 июля 2022
13	Дикси	масло растительноемасло растительное	120р. за 1 л	03 июля 2022
14	Дикси	яйцояйца 10 шт	90р. за единицу	03 июля 2022
15	Дикси	сахарсахар	75р. за 1 кг	03 июля 2022
16	Дикси	фруктыяблоки	145р. за 1 кг	03 июля 2022
17	Пятерочка	молокоПростаквашино	50р. за 1 л	28 июня 2022
18	Лента	масло сливочноемасло 	1000р. за 1 кг	28 июня 2022
19	Дикси	крупарис	70р. за 1 кг	25 июня 2022
20	Ашан	гречкакрупа гречневая ядрица 1 сорт, 800г	119.9р. за 1 кг	24 июня 2022
21	Перекресток	овощиогурцы	180р. за 1 кг	22 июня 2022
22	Пятерочка	хлеббатон	26р. за 1 кг	22 июня 2022
23	Пятерочка	водаСвятой источник	35р. за 1 л	21 июня 2022
24	Магнит	рыбалосось	1000р. за 1 кг	20 июня 2022
25	Перекресток	мясокуриная голень	240р. за 1 кг	19 июня 2022
26	Водный мир	рыбаЛосось охлажденный	1700р. за 1 кг	13 июня 2022
27	Магнит	масло растительноемасло растительное	90р. за 1 л	13 июня 2022
28	Магнит	яйцояйца 10 шт	70р. за единицу	13 июня 2022
29	Магнит	молокомолоко	89р. за 1 л	13 июня 2022
30	Магнит	сахарсахар	70р. за 1 кг	13 июня 2022
31	Магнит	капустакапуста	80р. за 1 кг	13 июня 2022
32	Магнит	мукамука	60р. за 1 кг	13 июня 2022
33	Пятерочка	гречкагречка  Мистраль, ядрица	159р. за 1 кг	07 июня 2022
34	Пятерочка	гречка гречка	100р. за 1 кг	07 июня 2022
35	Магнит	хлебхлеб  белый	20р. за 1 кг	27 мая 2022
36	Красное&белое	напитокFanta	89р. за 1 л	26 мая 2022
37	Пятерочка	чайчай	890р. за 1 кг	24 мая 2022
38	5	чайчай	1600р. за 1 кг	23 мая 2022
39	5	масло растительноемасло растительное	120р. за 1 л	23 мая 2022
40	5	яйцояйца 10 шт	80р. за единицу	23 мая 2022
41	5	молокомолоко	40р. за 1 л	23 мая 2022
42	5	рыбарыба	300р. за 1 кг	23 мая 2022
43	5	мясоГовядина	500р. за 1 кг	23 мая 2022
44	5	сахарсахар	80р. за 1 кг	23 мая 2022
45	5	фруктыяблоки	100р. за 1 кг	23 мая 2022
46	5	капустакапуста	50р. за 1 кг	23 мая 2022
